CustomerID,Age,Annual_Income_K,Spending_Score,Purchase_Frequency,Avg_Order_Value,Tenure_Years,Returns_Count,Loyalty_Points,Region,Gender,CLV_Score,Return_Rate,Engagement_Score,Segment,Segment_Label
CUST1000,56,35,9,3,437.07,6.2,6,3008,East,Female,0.945,1.9354838709677418,91.16,2,At-Risk
CUST1001,69,88,74,40,293.89,7.5,3,2161,East,Male,260.48,0.07481296758104738,80.72,0,Budget Shoppers
CUST1002,46,41,52,34,34.59,10.0,2,153,South,Female,72.488,0.05865102639296187,53.06,1,High Value
CUST1003,32,112,57,40,466.86,9.4,0,3699,West,Female,255.36,0.0,120.98,0,Budget Shoppers
CUST1004,60,95,26,27,350.97,6.6,7,4410,East,Female,66.69,0.25830258302583026,121.2,1,High Value
CUST1005,25,105,41,13,344.73,4.5,2,3786,South,Male,55.965,0.15267175572519084,98.22,2,At-Risk
CUST1006,38,48,35,45,123.52,6.5,1,1064,North,Male,75.6,0.022172949002217293,53.78,1,High Value
CUST1007,56,88,63,33,336.27,8.0,3,4200,North,Female,182.952,0.09063444108761329,124.0,0,Budget Shoppers
CUST1008,36,66,25,6,209.05,1.6,2,1913,South,Male,9.9,0.3278688524590164,46.26,2,At-Risk
CUST1009,40,113,90,24,332.59,4.4,0,1216,South,Male,244.08,0.0,46.32,0,Budget Shoppers
CUST1010,28,104,75,19,71.16,8.5,2,2401,East,Male,148.2,0.10471204188481674,90.52000000000001,2,At-Risk
CUST1011,28,58,38,16,335.77,4.1,1,1772,North,Female,35.264,0.06211180124223602,55.94,2,At-Risk
CUST1012,41,119,2,40,499.72,5.9,7,1960,South,Female,9.52,0.17456359102244387,68.7,1,High Value
CUST1013,53,52,7,28,43.14,6.1,5,2780,North,Male,10.192,0.1779359430604982,86.1,1,High Value
CUST1014,57,120,82,33,489.04,2.3,8,4804,South,Male,324.72,0.2416918429003021,107.58,0,Budget Shoppers
CUST1015,41,42,91,48,215.32,3.9,7,4746,North,Male,183.456,0.14553014553014554,114.42,0,Budget Shoppers
CUST1016,20,29,34,41,437.96,3.7,9,2871,West,Female,40.426,0.218978102189781,75.92,1,High Value
CUST1017,39,88,91,13,395.55,0.7,2,660,East,Female,104.104,0.15267175572519084,16.7,2,At-Risk
CUST1018,19,119,17,43,292.17,0.7,4,2635,North,Male,86.989,0.09280742459396751,56.2,1,High Value
CUST1019,41,53,43,45,374.46,8.4,6,2329,West,Male,102.555,0.13303769401330376,88.58,1,High Value
CUST1020,61,115,59,25,441.69,3.1,4,3954,North,Male,169.625,0.1593625498007968,94.58,0,Budget Shoppers
CUST1021,47,20,51,42,213.99,5.4,7,2450,North,Male,42.84,0.166270783847981,76.0,1,High Value
CUST1022,55,88,54,36,176.98,3.3,4,1132,West,Female,171.072,0.11080332409972299,39.14,1,High Value
CUST1023,19,23,24,27,340.44,9.4,0,699,North,Male,14.904,0.0,60.980000000000004,1,High Value
CUST1024,38,35,25,38,407.77,3.0,4,2038,North,Female,33.25,0.10498687664041995,55.76,1,High Value
CUST1025,50,43,71,7,385.9,4.6,3,4647,East,Male,21.371,0.4225352112676057,115.94,2,At-Risk
CUST1026,29,99,52,5,402.95,8.8,5,4500,West,Male,25.74,0.9803921568627452,134.0,2,At-Risk
CUST1027,39,21,70,43,229.08,8.5,2,4557,West,Male,63.21,0.04640371229698376,133.64,1,High Value
CUST1028,61,147,88,45,412.56,2.3,4,2179,South,Male,582.12,0.08869179600886917,55.08,0,Budget Shoppers
CUST1029,42,103,33,51,77.7,8.1,1,2838,North,Male,173.349,0.019569471624266144,97.25999999999999,1,High Value
CUST1030,66,143,49,31,281.35,4.9,5,873,East,Female,217.217,0.1607717041800643,41.96,0,Budget Shoppers
CUST1031,44,52,29,23,22.76,5.1,5,83,North,Male,34.684,0.21645021645021645,27.16,2,At-Risk
CUST1032,59,120,63,42,175.8,1.8,4,1422,North,Male,317.52,0.09501187648456057,37.44,0,Budget Shoppers
CUST1033,45,31,22,10,195.9,1.3,5,2675,South,Male,6.82,0.49504950495049505,60.0,2,At-Risk
CUST1034,33,86,26,32,210.16,7.4,6,3180,North,Female,71.552,0.18691588785046728,100.6,1,High Value
CUST1035,32,84,28,43,353.82,5.2,4,4316,East,Female,101.136,0.09280742459396751,112.32,1,High Value
CUST1036,64,93,85,30,206.51,4.7,0,3975,East,Female,237.15,0.0,103.0,0,Budget Shoppers
CUST1037,68,62,49,39,235.37,7.4,7,1391,South,Female,118.482,0.17902813299232737,64.82,1,High Value
CUST1038,61,63,71,31,134.02,7.8,3,3218,North,Male,138.663,0.09646302250803858,103.36,1,High Value
CUST1039,69,48,81,18,199.16,2.0,8,4207,East,Male,69.984,0.4419889502762431,94.14,2,At-Risk
CUST1040,20,31,84,36,129.09,6.3,9,614,North,Male,93.744,0.2493074792243767,43.78,2,At-Risk
CUST1041,54,114,49,2,55.13,1.8,5,2971,North,Female,11.172,2.380952380952381,68.42,3,Loyal Mid-Tier
CUST1042,68,65,20,14,309.66,7.6,0,3565,North,Male,18.2,0.0,109.3,2,At-Risk
CUST1043,24,149,86,13,340.74,6.7,2,3576,South,Male,166.582,0.15267175572519084,105.02,0,Budget Shoppers
CUST1044,38,54,92,29,317.36,9.6,2,4570,North,Female,144.072,0.06872852233676975,139.4,0,Budget Shoppers
CUST1045,26,100,63,12,242.48,1.2,9,270,East,Female,75.6,0.7438016528925621,11.4,2,At-Risk
CUST1046,56,109,61,39,202.3,1.0,3,4066,North,Female,259.311,0.07672634271099744,86.32,0,Budget Shoppers
CUST1047,35,27,49,2,434.4,3.2,5,2468,East,Male,2.646,2.380952380952381,65.36,2,At-Risk
CUST1048,21,112,71,32,269.16,3.0,6,1390,North,Male,254.464,0.18691588785046728,42.8,0,Budget Shoppers
CUST1049,42,109,1,13,250.01,2.8,9,3354,East,Female,1.417,0.6870229007633588,81.08,2,At-Risk
CUST1050,31,134,96,46,32.31,9.1,3,4135,East,Male,591.744,0.0650759219088937,128.2,0,Budget Shoppers
CUST1051,67,124,13,27,183.8,2.9,5,3607,North,Female,43.524,0.18450184501845018,86.64,1,High Value
CUST1052,26,77,94,49,202.49,3.1,0,2583,North,Female,354.662,0.0,67.16,0,Budget Shoppers
CUST1053,43,133,87,41,211.43,7.7,7,4073,East,Male,474.411,0.170316301703163,119.96,0,Budget Shoppers
CUST1054,19,94,51,17,298.48,4.8,6,3075,West,Female,81.498,0.3508771929824561,85.5,2,At-Risk
CUST1055,37,139,56,40,276.13,7.9,8,3906,South,Female,311.36,0.199501246882793,117.62,0,Budget Shoppers
CUST1056,45,40,83,31,311.79,1.1,2,289,West,Female,102.92,0.06430868167202572,11.280000000000001,2,At-Risk
CUST1057,64,120,62,34,387.14,5.1,1,2480,West,Male,252.96,0.029325513196480937,75.1,0,Budget Shoppers
CUST1058,24,118,32,24,410.23,0.8,0,3252,North,Female,90.624,0.0,69.04,1,High Value
CUST1059,61,55,30,45,364.7,1.1,2,278,South,Female,74.25,0.044345898004434586,11.059999999999999,1,High Value
CUST1060,25,115,29,35,478.65,9.1,4,2924,West,Female,116.725,0.11396011396011396,103.97999999999999,1,High Value
CUST1061,64,56,49,48,28.75,1.8,1,580,North,Female,131.712,0.020790020790020788,20.6,1,High Value
CUST1062,52,31,45,6,113.97,5.6,2,4958,West,Female,8.37,0.3278688524590164,127.16,2,At-Risk
CUST1063,31,132,93,19,23.63,4.4,3,253,West,Female,233.244,0.15706806282722513,27.06,0,Budget Shoppers
CUST1064,34,32,30,30,330.79,3.8,6,4276,North,Female,28.8,0.19933554817275748,104.52,1,High Value
CUST1065,53,42,16,7,451.05,9.0,2,4776,North,Male,4.704,0.28169014084507044,140.51999999999998,2,At-Risk
CUST1066,67,118,40,10,136.87,0.7,8,824,North,Male,47.2,0.7920792079207921,19.98,2,At-Risk
CUST1067,57,124,19,41,464.98,6.8,7,3832,South,Female,96.596,0.170316301703163,110.64,1,High Value
CUST1068,21,49,18,32,48.93,9.7,3,699,West,Male,28.224,0.09345794392523364,62.480000000000004,1,High Value
CUST1069,19,36,1,34,468.53,5.8,0,1380,North,Male,1.224,0.0,56.6,1,High Value
CUST1070,23,132,78,28,188.78,9.4,0,3896,East,Female,288.288,0.0,124.92,0,Budget Shoppers
CUST1071,59,81,47,15,68.68,1.0,0,1673,West,Male,57.105,0.0,38.46,2,At-Risk
CUST1072,21,103,66,30,253.22,4.5,0,2727,East,Female,203.94,0.0,77.03999999999999,0,Budget Shoppers
CUST1073,46,131,92,37,143.25,3.0,7,3156,South,Female,445.924,0.18867924528301885,78.12,0,Budget Shoppers
CUST1074,35,105,94,29,156.74,7.4,2,3388,North,Female,286.23,0.06872852233676975,104.76,0,Budget Shoppers
CUST1075,43,38,38,22,167.5,9.8,5,4307,East,Female,31.768,0.2262443438914027,135.14,2,At-Risk
CUST1076,61,119,51,4,405.45,2.9,2,383,South,Female,24.276,0.48780487804878053,22.16,2,At-Risk
CUST1077,51,95,63,20,278.8,6.7,4,341,North,Male,119.7,0.1990049751243781,40.32,2,At-Risk
CUST1078,27,28,4,32,169.43,2.4,6,1987,East,Female,3.584,0.18691588785046728,51.74,1,High Value
CUST1079,53,47,1,36,312.96,5.9,1,4059,East,Male,1.692,0.027700831024930747,110.68,1,High Value
CUST1080,31,147,8,50,363.75,4.9,5,4939,South,Female,58.8,0.0998003992015968,123.28,1,High Value
CUST1081,48,71,29,4,150.86,9.7,5,3109,North,Female,8.236,1.2195121951219514,110.68,2,At-Risk
CUST1082,65,102,55,27,218.5,6.3,2,4082,North,Female,151.47,0.07380073800738007,113.14,1,High Value
CUST1083,32,130,3,17,78.51,3.8,5,4515,East,Male,6.63,0.29239766081871343,109.3,2,At-Risk
CUST1084,25,136,32,12,106.95,1.6,9,2798,East,Female,52.224,0.7438016528925621,63.96,2,At-Risk
CUST1085,31,88,10,22,346.94,1.9,9,3240,East,Female,19.36,0.4072398190045249,74.3,1,High Value
CUST1086,40,118,74,17,107.09,2.6,4,1988,North,Female,148.444,0.23391812865497075,52.76,2,At-Risk
CUST1087,57,44,83,10,272.08,2.9,1,3414,South,Female,36.52,0.09900990099009901,82.78,2,At-Risk
CUST1088,38,142,34,1,360.34,8.6,8,1849,South,Male,4.828,7.2727272727272725,79.97999999999999,3,Loyal Mid-Tier
CUST1089,33,72,97,22,71.3,5.8,7,305,North,Female,153.648,0.3167420814479638,35.1,2,At-Risk
CUST1090,62,76,87,26,292.31,5.5,2,3613,West,Male,171.912,0.07662835249042145,99.76,0,Budget Shoppers
CUST1091,35,58,55,18,143.15,1.6,7,2749,South,Female,57.42,0.38674033149171266,62.98,2,At-Risk
CUST1092,64,128,92,50,482.2,8.7,8,4964,East,Male,588.8,0.1596806387225549,142.78,0,Budget Shoppers
CUST1093,41,61,32,14,252.1,7.4,2,1135,West,Male,27.328,0.14184397163120568,59.7,2,At-Risk
CUST1094,43,141,50,47,406.88,1.1,2,205,West,Female,331.35,0.04246284501061571,9.6,0,Budget Shoppers
CUST1095,42,94,7,29,284.11,7.2,1,4591,South,Female,19.082,0.034364261168384876,127.82,1,High Value
CUST1096,62,95,93,12,40.84,5.7,7,3450,West,Male,106.02,0.578512396694215,97.5,2,At-Risk
CUST1097,58,28,8,36,323.91,1.3,9,3811,West,Female,8.064,0.2493074792243767,82.72,1,High Value
CUST1098,46,93,65,35,476.67,4.9,0,3622,South,Female,211.575,0.0,96.94,0,Budget Shoppers
CUST1099,32,26,57,12,308.77,5.1,7,3599,South,Female,17.784,0.578512396694215,97.48,2,At-Risk
CUST1100,62,46,67,7,413.21,2.1,6,2551,West,Male,21.574,0.8450704225352114,61.52,2,At-Risk
CUST1101,18,141,88,29,444.42,9.5,6,4308,East,Female,359.832,0.20618556701030927,133.66,0,Budget Shoppers
CUST1102,42,24,87,11,129.48,8.6,2,309,North,Female,22.968,0.1801801801801802,49.18,2,At-Risk
CUST1103,24,48,59,33,121.78,6.9,0,2708,West,Female,93.456,0.0,88.66,1,High Value
CUST1104,26,102,72,6,313.27,4.9,3,1991,West,Male,44.064,0.49180327868852464,64.32,2,At-Risk
CUST1105,41,128,54,47,217.29,4.4,8,271,East,Female,324.864,0.16985138004246284,27.42,0,Budget Shoppers
CUST1106,18,84,67,15,423.13,6.7,4,3642,West,Male,84.42,0.26490066225165565,106.34,2,At-Risk
CUST1107,61,105,51,32,452.01,5.7,0,4086,West,Female,171.36,0.0,110.22,1,High Value
CUST1108,25,90,97,51,189.64,1.1,4,1822,North,Male,445.23,0.07827788649706457,41.94,0,Budget Shoppers
CUST1109,41,64,92,11,133.7,5.4,7,3273,North,Female,64.768,0.6306306306306306,92.46,2,At-Risk
CUST1110,28,55,8,23,394.65,8.2,7,4538,North,Female,10.12,0.30303030303030304,131.76,1,High Value
CUST1111,68,89,34,26,151.91,4.9,4,4349,South,Male,78.676,0.1532567049808429,111.48,1,High Value
CUST1112,34,38,35,34,414.85,1.0,8,520,South,Male,45.22,0.2346041055718475,15.4,1,High Value
CUST1113,25,127,96,46,223.39,8.0,0,976,North,Male,560.832,0.0,59.519999999999996,0,Budget Shoppers
